product_id;img_link;product_link
B00935MD1C;https://m.media-amazon.com/images/I/41f4XKOolpL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Prestige-PRWO-1-8-2-700-Watts-Aluminium/dp/B00935MD1C/ref=sr_1_149?qid=1672923597&s=kitchen&sr=1-149
B00935MGHS;https://m.media-amazon.com/images/I/4108k4zDdOL._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Prestige-PSMFB-Sandwich-Toaster-Plates/dp/B00935MGHS/ref=sr_1_436?qid=1672923614&s=kitchen&sr=1-436
B009DA69W6;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31A-v4dVHmL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Gold-Optima-10-Litres-Non-electric-Purifier/dp/B009DA69W6/ref=sr_1_196?qid=1672923600&s=kitchen&sr=1-196
B009LJ2BXA;https://m.media-amazon.com/images/I/31eE6slx4EL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/HP-B4B09PA-Headphones-with-Mic/dp/B009LJ2BXA/ref=sr_1_361?qid=1672903013&s=computers&sr=1-361
B009P2L7CO;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/411ZPXAMTlL._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-DHX-1000-Watt-Ivory-Color/dp/B009P2L7CO/ref=sr_1_222?qid=1672923603&s=kitchen&sr=1-222
B009P2LIL4;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41qmt2a159L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-RX-10-2000-Watt-Convector/dp/B009P2LIL4/ref=sr_1_504?qid=1672923617&s=kitchen&sr=1-504
B009P2LITG;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31Di52QEVdL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-RX-11-2000-Watt-Convector/dp/B009P2LITG/ref=sr_1_98?qid=1672923595&s=kitchen&sr=1-98
B009P2LK08;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41B-iX4Pf5L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-Minor-1000-Watt-Room-Heater/dp/B009P2LK08/ref=sr_1_57?qid=1672923593&s=kitchen&sr=1-57
B009P2LK80;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41WyoT08raL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-Delux-2000-Watt-Room-Heater/dp/B009P2LK80/ref=sr_1_103?qid=1672923596&s=kitchen&sr=1-103
B009UORDX4;https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/41EK0QNFSUL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Philips-HI113-1000-Watt-Plastic-Coating/dp/B009UORDX4/ref=sr_1_319?qid=1672923609&s=kitchen&sr=1-319
B009VCGPSY;https://m.media-amazon.com/images/I/31plkeAvAQL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/HP-X1000-Wired-Mouse-Black/dp/B009VCGPSY/ref=sr_1_22?qid=1672902995&s=computers&sr=1-22
B00A0VCJPI;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/21n1BGPOHBL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/TP-Link-TL-WA850RE-300Mbps-Universal-Extender/dp/B00A0VCJPI/ref=sr_1_127?qid=1672903001&s=computers&sr=1-127
B00A328ENA;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/419H62Is66L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Panasonic-SR-WA22H-5-4-Litre-Automatic-Cooker/dp/B00A328ENA/ref=sr_1_349?qid=1672923610&s=kitchen&sr=1-349
B00A7PLVU6;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21OWOIM1wML._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Orpat-HHB-100E-WOB-250-Watt-Blender/dp/B00A7PLVU6/ref=sr_1_104?qid=1672923596&s=kitchen&sr=1-104
B00ABMASXG;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31Q16tE2voL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-1500-Watt-Immersion-Heater-Plug/dp/B00ABMASXG/ref=sr_1_38?qid=1672923592&s=kitchen&sr=1-38
B00AXHBBXU;https://m.media-amazon.com/images/I/41LcHKyVl9L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Casio-Non-Programmable-Scientific-Calculator-Functions/dp/B00AXHBBXU/ref=sr_1_79?qid=1672902998&s=computers&sr=1-79
B00B3VFJY2;https://m.media-amazon.com/images/I/51G5KRUKOgL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/HUL-Pureit-Germkill-Advanced-Purifier/dp/B00B3VFJY2/ref=sr_1_287?qid=1672923606&s=kitchen&sr=1-287
B00B7GKXMG;https://m.media-amazon.com/images/I/319pDZDL+sL._SY300_SX300_.jpg;https://www.amazon.in/Wipro-Smartlife-Super-Deluxe-Iron/dp/B00B7GKXMG/ref=sr_1_364?qid=1672923610&s=kitchen&sr=1-364
B00BN5SNF0;https://m.media-amazon.com/images/I/41tcZ6fcJML._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Envie-1000-4PL-Ni-CD-Rechargeable/dp/B00BN5SNF0/ref=sr_1_276?qid=1672903008&s=computers&sr=1-276
B00C3GBCIS;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/412fxJY-gxL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Clublaptop-Reversible-15-6-inch-Laptop-Sleeve/dp/B00C3GBCIS/ref=sr_1_460?qid=1672903018&s=computers&sr=1-460
B00CEQEGPI;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41X6hey-ExL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Logitech-Wireless-mk270r-Keyboard-Mouse/dp/B00CEQEGPI/ref=sr_1_268?qid=1672903008&s=computers&sr=1-268
B00DJ5N9VK;https://m.media-amazon.com/images/I/41rJGx-w9iL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Faber-Castell-Connector-Pen-Set-Assorted/dp/B00DJ5N9VK/ref=sr_1_381?qid=1672903013&s=computers&sr=1-381
B00E3DVQFS;https://m.media-amazon.com/images/I/41PBiq0KGUL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Duracell-Ultra-5000688-Rechargeable-Batteries/dp/B00E3DVQFS/ref=sr_1_274?qid=1672903008&s=computers&sr=1-274
B00E9G8KOY;https://m.media-amazon.com/images/I/41OxPvBpwYL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00E9G8KOY/ref=sr_1_130?qid=1672923597&s=kitchen&sr=1-130
B00EDJJ7FS;https://m.media-amazon.com/images/I/41Bnylq337S._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS/ref=sr_1_54?qid=1672923593&s=kitchen&sr=1-54
B00EYW1U68;https://m.media-amazon.com/images/I/31aoDL5YfNL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/TP-Link-TL-WA855RE-Wi-Fi-Range-Extender/dp/B00EYW1U68/ref=sr_1_462?qid=1672903018&s=computers&sr=1-462
B00F159RIK;https://m.media-amazon.com/images/I/416ICdLhYGL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-DX-600-Watts-Light-Weight/dp/B00F159RIK/ref=sr_1_100?qid=1672923596&s=kitchen&sr=1-100
B00GE55L22;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31RK9+CyhoL._SY300_SX300_.jpg;https://www.amazon.in/Storite-USB-3-0-Micro-Cable/dp/B00GE55L22/ref=sr_1_201?qid=1672909134&s=electronics&sr=1-201
